scenario,label,mines_opened,projects_unlocked,crit_domestic_share_end,crit_recycled_share_end,crit_import_share_end,single_country_exposure_end,recycling_value_gbp_m_end,end_jobs,cum_disc_gva_gbp_m,cum_disc_co2_kt,meets_domestic_10pct,meets_recycling_20pct,meets_single_country_60pct
all_demand_-50%,all_demand_-50%,1,Dalradian Gold,0.065,0.468,0.468,0.779,80.9,1539.3,1146.4,2359.0,False,True,False
lithium_-50%,lithium_-50%,1,Dalradian Gold,0.058,0.45,0.492,0.779,99.2,1841.3,1210.8,2514.8,False,True,False
central_annex,central_annex,1,Dalradian Gold,0.055,0.439,0.505,0.779,103.0,1889.5,1228.5,2544.0,False,True,False
lithium_+50%,lithium_+50%,1,Dalradian Gold,0.051,0.416,0.533,0.779,111.7,2001.2,1267.6,2608.6,False,True,False
all_demand_+50%,all_demand_+50%,1,Dalradian Gold,0.047,0.413,0.54,0.779,136.2,2398.4,1348.8,2802.5,False,True,False
