scenario,cum_disc_GVA_£m,firm_capex_pipeline_£m,end_jobs,recycling_jobs,named_recycler_capacity_tpa,named_company_employee_estimate,named_recycler_companies,named_downstream_companies,crit_recycled_share,crit_domestic_share,crit_max_single_country,closure_cliff_mining_jobs,cum_disc_CO2_kt
1_baseline,788.3,1164.0,1147.7,552.2,400.0,13704.0,6,7,0.147,0.011,0.85,261.2,1591.8
2_circular_innovation,1019.1,1164.0,1513.1,801.5,400.0,13704.0,6,7,0.206,0.011,0.832,265.2,1974.0
3_primary_extraction,790.0,1164.0,1150.4,552.2,400.0,13704.0,6,7,0.147,0.011,0.85,263.3,1597.0
4_integrated_circular_primary,944.3,1164.0,1394.9,719.4,400.0,13704.0,6,7,0.186,0.011,0.838,265.5,1852.3
5_supply_shock,890.1,1164.0,1242.7,616.7,400.0,13704.0,6,7,0.169,0.011,0.246,262.6,1760.7
6_high_esg_low_impact,942.4,1164.0,1391.8,718.8,400.0,13704.0,6,7,0.186,0.011,0.838,263.8,1847.0
