scenario,label,cum_disc_gva_gbp_m,cum_disc_output_gbp_m,avoided_import_cost_gbp_m,tax_proxy_gbp_m,exports_gbp_m,firm_investment_pipeline_gbp_m,mines_opened,gva_per_worker_gbp,annual_exports_end_gbp_m,annual_avoided_imports_end_gbp_m,manufacturing_jobs_end,end_jobs,disc_public_cost_gbp_m,d_cum_gva_gbp_m,d_avoided_imports_gbp_m,gva_bcr,econ_resilience_bcr
1_baseline,Baseline,788.3,1976.5,1215.2,197.1,630.7,1164.0,0,45678.0,44.2,84.1,48.2,1147.7,0.0,0.0,0.0,,
2_circular_innovation,Circular innovation,1019.1,2547.6,1567.2,254.8,841.9,1164.0,0,46494.0,61.3,112.5,64.5,1513.1,291.2,230.8,352.0,0.79,2.0
3_primary_extraction,Primary extraction,790.0,1981.0,1217.9,197.5,631.5,1164.0,1,45659.0,44.3,84.3,48.3,1150.4,113.1,1.7,2.7,0.02,0.04
4_integrated,Integrated circular + primary,1152.6,2904.9,1789.1,288.1,873.5,1164.0,2,43625.0,67.2,141.8,81.3,2010.6,425.4,364.3,573.9,0.86,2.21
