scenario,label,supply_gap_early5,crit_supply_gap_end,crit_recycled_share_end,crit_domestic_share_end,crit_import_share_end,single_country_exposure_end,recycling_substitution_end,mining_jobs_end,recycling_jobs_end,manufacturing_jobs_end,total_jobs_end,cum_disc_gva_gbp_m,d_supply_gap_pp,d_total_jobs,d_cum_gva_gbp_m
0_no_shock_no_support,"No shock, no support (reference)",0.0,0.0,0.147,0.011,0.843,0.85,0.011,261.2,552.2,48.2,1147.7,788.3,-20.4,78.5,16.8
shock_no_support,"Upstream shock, no support",0.051,0.204,0.135,0.011,0.65,0.246,0.066,259.9,499.1,44.7,1069.2,771.5,0.0,0.0,0.0
shock_upstream_support,Shock + upstream (primary) support,0.051,0.155,0.135,0.076,0.634,0.246,0.066,719.9,500.7,66.9,1687.4,989.6,-4.9,618.2,218.1
shock_midstream_support,Shock + midstream (processing/collection) support,0.016,0.136,0.204,0.011,0.65,0.246,0.666,263.7,738.8,60.4,1420.6,1008.5,-6.8,351.4,237.0
shock_downstream_support,Shock + downstream (manufacturer) support,0.051,0.204,0.135,0.011,0.65,0.246,0.582,258.6,500.1,44.7,1068.8,771.6,0.0,-0.4,0.1
shock_enabling_support,Shock + enabling (skills/supplier) support,0.038,0.204,0.135,0.011,0.65,0.246,0.469,259.2,499.7,44.7,1069.0,772.3,0.0,-0.2,0.8
shock_full_support,Shock + full cross-chain support,0.013,0.112,0.204,0.076,0.609,0.246,0.666,722.6,741.2,82.6,2038.5,1235.4,-9.2,969.3,463.9
