intervention,theme,crit_recycled_share_end,recycled_share_all_end,secondary_value_gbp_m_end,recycling_jobs_end,circular_design_uptake_end,crit_max_single_country_end,co2_kt_end,cum_disc_gva_gbp_m,cum_disc_co2_kt,disc_public_cost_gbp_m,disc_cost_low_gbp_m,disc_cost_high_gbp_m,d_recycled_share_pp,d_recycling_jobs,d_cum_gva_gbp_m,d_cum_co2_kt,gva_roi_central,gva_roi_pessimistic,gva_roi_optimistic,gva_roi_range,recycled_pp_per_costm
0_baseline,—,0.147,0.039,63.22,552.2,0.011,0.85,104.7,788.3,1591.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,nan–nan,
A_materials_recovery_capital,materials recovery,0.147,0.039,63.33,553.2,0.066,0.849,104.8,788.8,1592.6,60.0,34.3,102.8,0.0,1.0,0.5,0.8,0.01,0.0,0.01,0.00–0.01,0.0
B_circular_innovation_fund,materials recovery + circular design,0.147,0.039,63.32,553.8,0.532,0.849,104.7,788.8,1592.2,93.3,55.2,165.6,0.0,1.6,0.5,0.4,0.01,0.0,0.01,0.00–0.01,0.0
C_smart_collection_drs,recycling / collection,0.21,0.055,93.27,814.3,0.011,0.833,136.0,1033.2,1998.1,194.2,106.6,426.4,6.3,262.1,244.9,406.3,1.26,0.57,2.3,0.57–2.30,0.0324
D_secondary_market_offtake,secondary materials markets,0.147,0.039,63.34,554.3,0.592,0.849,104.7,788.9,1592.1,62.8,31.4,125.6,0.0,2.1,0.6,0.3,0.01,0.0,0.02,0.00–0.02,0.0
E_circular_design_standards,circular design in manufacturing,0.17,0.045,74.62,652.8,0.557,0.843,116.5,880.8,1744.6,41.9,20.9,83.8,2.3,100.6,92.5,152.8,2.21,1.1,4.43,1.10–4.43,0.0549
F_green_skills_cluster,enabling (skills) ,0.147,0.039,63.23,552.9,0.415,0.85,104.6,788.3,1591.6,89.5,44.7,163.7,0.0,0.7,0.0,-0.2,0.0,0.0,0.0,0.00–0.00,0.0
G_integrated_package,full Q2.1 mix,0.21,0.055,93.53,818.3,0.666,0.831,136.1,1034.4,1998.9,436.9,237.0,875.6,6.3,266.1,246.1,407.1,0.56,0.28,1.04,0.28–1.04,0.0144
