scenario,year,mining_fd_gbp_m,recycling_fd_gbp_m,output_total_gbp_m,gva_total_gbp_m,employment_total,recycling_jobs,mining_jobs,manufacturing_jobs,co2_kt,pm_t,mines_opened,crit_recycled_share,crit_domestic_share,crit_import_share,crit_supply_gap,crit_max_single_country,recycled_share_all,recycling_substitution,company_count,company_mining_count,company_recycler_count,company_downstream_count,company_employee_estimate,company_proposed_mining_jobs,company_capex_pipeline_gbp_m,company_capex_operating_gbp_m,company_capex_proposed_gbp_m,company_recycler_capacity_tpa,avg_recycler_capacity_score,avg_feedstock_score,avg_downstream_demand_score,avg_local_procurement_score,avg_planning_risk_score,cge_wage_index,cge_gva_total_gbp_m,cge_status,cge_max_resid,jobs_Antrim & Newtownabbey,jobs_Ards & North Down,"jobs_Armagh, Banbridge & Craigavon",jobs_Belfast,jobs_Causeway Coast & Glens,jobs_Derry City & Strabane,jobs_Fermanagh & Omagh,jobs_Lisburn & Castlereagh,jobs_Mid & East Antrim,jobs_Mid Ulster,"jobs_Newry, Mourne & Down"
1_baseline,2026,15.525115,44.18269382664761,100.09211542242512,40.0577171024685,867.5053569179306,388.0032783245265,196.95334927908414,41.118799888230015,80.11238288821365,8.521201663142472,0,0.3334303461083679,0.009854423292273238,0.6567152305993589,0.0,0.8253789727829915,0.03532083707604905,0.00034481298655624436,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0001464928235786,40005.145575596915,solved,3.637978807091713e-12,102.84286079205215,33.06491018676792,91.33611078319873,130.71472926047664,40.54511829155639,45.41849179411811,111.42412911865618,38.32916268483276,65.9000077734273,87.73453372208371,120.19530251076084
1_baseline,2027,15.6203598,44.18269717065444,99.99558975467764,40.006907018876134,867.1166863681044,387.9288029555291,197.962945548115,40.91406464975148,80.09291347859113,8.527033154006531,0,0.32177023039609276,0.009907495461225903,0.6683222741426813,0.0,0.8286839532679753,0.03519720955227225,0.0006898718051167457,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0009662869267133,40005.14975936993,solved,5.263700586510822e-11,102.75706306328915,32.983572745696435,91.2339926893147,130.48084125362647,40.495734469194836,45.35417883755694,111.7669841120476,38.249307778897695,65.88438281661348,87.77387404778439,120.13675455408276
1_baseline,2028,15.719754552,44.18272529011899,99.90773321286932,39.95954211750153,866.8112455252457,387.85534997404346,199.02282082367194,40.71390209928952,80.0828075163308,8.534009400685704,0,0.31047726601505177,0.009959687099955407,0.6795630468849928,0.0,0.8317422149316493,0.03506953878510726,0.001036997803761311,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0018394937760535,40005.180883216744,solved,4.843059286940843e-11,102.67543612081344,32.90531138196243,91.1382256084466,130.25312145211262,40.45127210975021,45.29511549256174,112.13364738339041,38.17248380309606,65.87705949487588,87.82562528584144,120.08394739239486
1_baseline,2029,15.823482262079999,44.18275522596711,99.82873821367727,39.915691865714564,866.5911975089255,387.7827141636829,200.13511407295525,40.518342623311284,80.08233445332918,8.542168182228238,0,0.29953926660385016,0.010010908849844152,0.6904498245463058,0.0,0.8345739698781426,0.034937682969628105,0.001386324512484242,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0027688436070772,40005.21401130481,solved,9.822542779147625e-11,102.59802239481326,32.83016988414297,91.04892257765991,130.03158911455486,40.41185003931254,45.24142180394246,112.52504925536911,38.09873125946507,65.87827721949488,87.89018270501806,120.03698125515234
1_baseline,2030,15.9317341069632,44.18278707854581,99.75884766685924,39.87544587601165,866.4591448889162,387.7108927173939,201.30206629137342,40.327436141304304,80.09180413449238,8.551551599951985,0,0.2889444266000161,0.010061064800627257,0.7009945085993565,0.0,0.8371959970700186,0.03480149490598897,0.0017379928382104256,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0037580011095817,40005.24925372953,solved,2.1827872842550278e-10,102.52491698495162,32.75820839258839,90.96624287583198,129.81632952947504,40.37760728789511,45.19324042372183,112.94217704228343,38.02810976302979,65.88830857522653,87.96798593393832,119.99601807997416
1_baseline,2031,16.04470980336173,44.18282097193162,99.6983169051831,39.83889846637956,866.4178190391333,387.6398833635217,202.52601907340312,40.1412363713298,80.11154140931544,8.562203735738859,0,0.2786813014464388,0.010110052092609368,0.7112086464609518,0.0,0.8396238313417101,0.03466082057461638,0.0020921528092522792,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0048108778560256,40005.28674628228,solved,4.656612873077393e-10,102.45622025590649,32.689490572782944,90.89035427931495,129.60743383299146,40.34868999754142,45.150721387849885,113.38606318810986,37.960682411762704,65.90743942070833,88.05949556788389,119.96122812428139
1_baseline,2032,16.1626179942222,44.18285703841917,99.64741416684133,39.80614883900132,866.470085327013,387.56968423401895,203.80941913159472,39.95980093744402,80.14188675172564,8.574170736334963,0,0.26873879849634275,0.010157760509173963,0.7211034409944834,0.0,0.8418718568040998,0.034515498668323416,0.0024489641794573254,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0059316492699995,40005.32663357084,solved,7.8580342233181e-10,102.39203800976024,32.624083738214686,90.8214333747433,129.40499916469787,40.32525170493568,45.11402240582924,113.85778726030631,37.896515906130205,65.93596943746311,88.16519405528754,119.93279026964481
1_baseline,2033,16.285676652653386,44.18311717907441,99.60678587290406,39.77744882989345,866.6219393010738,387.50223487568746,205.15487559253881,39.78333726603135,80.1834420903823,8.587523795648913,0,0.2591068285623274,0.010204072062228665,0.730689099375444,0.0,0.843953392083901,0.03436544020460028,0.002808597073023472,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0071247734302187,40005.369069582695,solved,1.3387762010097504e-09,102.33293596187994,32.56218038897334,90.76002700902364,129.20970182685832,40.30757886815768,45.08345449732421,114.35860641000714,37.835829111947376,65.97440501864034,88.28581489049921,119.9114053177627
1_baseline,2034,16.414113504354937,44.20933335254032,99.61894562788756,39.769982908333056,867.2227240284341,387.6627173628038,206.5711130208363,39.62871480180353,80.26494491523823,8.60496254237431,0,0.2498132522391204,0.010248860573888362,0.7399378871869913,0.0,0.8458807692482077,0.034215272364648455,0.003171232673845137,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.00839501133647,40005.41421829731,solved,2.0736479200422764e-09,102.33167643267774,32.51788849218884,90.74814213572932,129.08799946699568,40.3103136816735,45.07598891118553,114.90452594122135,37.79586602519057,66.04531598381183,88.44828578445603,119.95672117330368
1_baseline,2035,16.54816646940432,44.25221857597939,99.66869518132299,39.777584345883696,868.1486975731092,387.96975426128904,208.0586185287289,39.48965228353795,80.37633365650831,8.625565106668851,0,0.24083427375169378,0.010291991258450468,0.7488737349898558,0.0,0.8476654068827819,0.034063513558768826,0.003537063962676975,21,8,6,7,13704.0,1000.0,1164.0,914.0,250.0,400.0,0.5804942274097942,0.6197932023555783,0.7479268644291952,0.5905840910125956,0.3664400273081831,1.0097474487643998,40005.462254337595,solved,3.0850060284137726e-09,102.36921456436825,32.486083728615185,90.77066661994051,129.01571540767398,40.328262902590076,45.085577643616055,115.49124924548312,37.7703715759686,66.14083234904271,88.64341090745644,120.04731262835435
